{'text': 'the LEF/TCF family One of the target genes for beta catenin/TCF encodes c MYC explaining why constitutive activation of the WNT pathway can lead to cancer particularly in the colon Most colon cancers arise from mutations in the gene encoding [E1] adenomatous polyposis coli [\\E1] APC a protein required for ubiquitin mediated degradation of beta catenin but a small percentage of colon and some other cancers harbour beta catenin stabilizing mutations Recently we discovered that transgenic mice expressing an activated beta catenin are predisposed', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'D008949', 'C090876', 'C563250', 'D025601', 'C031511', 'D018262', 'D000238', 'C000671802', 'C407009', 'C062351', 'C111578', 'C061075', 'C000613192', 'C000645531', 'D017188', 'C048567', 'C000623798', 'C000699842', 'D018196', 'D000236', 'D017157', 'C017991', 'C538110', 'C526457', 'C018446', 'C538265', 'C055772', 'C017990', 'C011626', 'C022571', 'C018444', 'C027800', 'C000699812', 'C022570', 'C030812', 'C015651', 'C542391', 'C524259', 'C018775', 'D000235', 'C000691299', 'D044483', 'C000647324', 'C503443', 'C049300', 'C026520', 'C520193', 'C406809', 'C000662092', 'C000662061', 'D000261', 'D062788', 'C000640097', 'C538232', 'C000662013', 'C000647651', 'D018194', 'C000661085', 'C044618']}}
{'text': 'molecular basis for rearrangement disorders on chromosome 22q11 The chromosome 22q11 region is susceptible to rearrangements that are associated with congenital anomaly disorders and malignant tumors Three congenital anomaly disorders cat eye syndrome der syndrome and velo cardio facial syndrome/ [E1] DiGeorge syndrome [\\E1] VCFS/DGS are associated with tetrasomy trisomy or monosomy respectively for part of chromosome 22q11 VCFS/DGS is the most common syndrome associated with 22q11 rearrangements In order to determine whether there are particular regions on 22q11 that are prone to', 'mention_data': {'kb_id': 'D004062', 'candidates': ['D004062', 'C563337', 'C538641', 'C531747', 'C535578', 'C563065', 'C535582', 'C536134', 'C563276', 'C567605', 'C537300', 'C563682', 'C536209', 'C537734', 'D058165', 'C537865', 'C563160', 'C536549', 'D000080041', 'C536574', 'C536187', 'C537683', 'C536200', 'C537916', 'C535544', 'C580012', 'D000092183', 'C535704', 'C535579', 'C537636', 'C564173', 'C566380', 'C536788', 'C535576', 'C537737', 'C000603735', 'C535487', 'C536211', 'C535984', 'C535637', 'C567444', 'C538325', 'C537733', 'C538206', 'C535745', 'C537223', 'D006344', 'C535655', 'C538496', 'C536361', 'C538248', 'C565882', 'C567346', 'D000080984', 'C535748', 'C564481', 'C580047', 'C538213', 'C535464', 'C567298', 'C566186', 'C564923', 'D007625', 'C537857']}}
{'text': 'syndrome CES and three more children with partial CES because of absence of coloboma in which the supernumerary marker chromosome was studied by FISH Using a genomic library and also a centromeric and particularly a cosmid probe of 22q11 partial [E1] tetrasomy [\\E1] was shown in all cases', 'mention_data': {'kb_id': 'D058670', 'candidates': ['D058670', 'D057891', 'D014314', 'C538039', 'D009006', 'D024182', 'D000782', 'C536502', 'D011123', 'C535488', 'D011003', 'C537108', 'C536498', 'C538028', 'C536471', 'D006238', 'C537942', 'C536799', 'C537814', 'D026801', 'D046528', 'D033481', 'C535372', 'D002503', 'C115985', 'D059785', 'C564590', 'C566066', 'C563909', 'D045584', 'C536500', 'D000074436', 'C538041', 'D059007', 'C000709454', 'D009707', 'C048648', 'D007621', 'C566585', 'C538044', 'C535485', 'D015825', 'D016615', 'D004171', 'D006239', 'C536801', 'D022004', 'D002905', 'D019847', 'D002894', 'D002883', 'D024509', 'D002901', 'D002899', 'D059006', 'D002876', 'D057688', 'D011110', 'C418786', 'D012703', 'D002900', 'D002877', 'C562429', 'D009875']}}
{'text': 'Cloning of the [E1] Huntington disease [\\E1] region in yeast artificial chromosomes The gene responsible for Huntington disease has been localized to a 2 5 million base pair Mb region between the loci D4S10 and D4S168 on the short arm of chromosome 4 As part of', 'mention_data': {'kb_id': 'D006816', 'candidates': ['D006816', 'C580174', 'C535525', 'C537900', 'C537306', 'C565747', 'C535483', 'C536203', 'C566398', 'C536567', 'D000544', 'C564708', 'D044904', 'C563501', 'D030342', 'C564773', 'D010300', 'C537470', 'D020739', 'C535463', 'D006250', 'C536730', 'C536481', 'C536109', 'D020271', 'C566210', 'D002446', 'C579754', 'D018901', 'C562664', 'C538136', 'D015211', 'C537024', 'D014515', 'D014591', 'C535843', 'D029461', 'D050174', 'D013896', 'C564092', 'C538052', 'D005882', 'C537497', 'C536380', 'D000091642', 'C538523', 'C537137', 'C536006', 'D017825', 'C537943', 'D015785', 'C566640', 'C537899', 'C537937', 'C581942', 'C000657684', 'D007674', 'C564977', 'C535307', 'C538139', 'C538119', 'C535531', 'D004402', 'C538124']}}
{'text': 'Cloning of the Huntington disease region in yeast artificial chromosomes The gene responsible for [E1] Huntington disease [\\E1] has been localized to a 2 5 million base pair Mb region between the loci D4S10 and D4S168 on the short arm of chromosome 4 As part of a strategy to clone the HD gene on the basis of', 'mention_data': {'kb_id': 'D006816', 'candidates': ['D006816', 'C580174', 'C535525', 'C537306', 'C536203', 'D000544', 'C565747', 'C535483', 'C564708', 'D010300', 'C566398', 'C535463', 'C566210', 'C537900', 'C536730', 'C536567', 'C563501', 'C564773', 'C579754', 'D044904', 'C537937', 'D020271', 'D000690', 'D020739', 'C536472', 'C536481', 'C537047', 'D006250', 'C537470', 'D018901', 'D014515', 'D030342', 'C537137', 'D013122', 'C562664', 'D029461', 'D005882', 'C537849', 'C536109', 'C537943', 'C538523', 'C538637', 'C538124', 'D000686', 'C537526', 'C567370', 'D000312', 'C565359', 'D017096', 'D006111', 'C538139', 'D014522', 'D013896', 'C537497', 'C538052', 'C537684', 'D007674', 'D006623', 'C581942', 'C564977', 'C537568', 'D000091642', 'C538136', 'C535979']}}
{'text': 'Identification of the mutation in the [E1] alkaptonuria [\\E1] mouse model Alkaptonuria aku an inborn error of metabolism caused by the loss of homogentisate 1 2 dioxygenase HGD has been described in a mouse model created by ethylnitrosourea mutagenesis but the mutation in these mice has not previously', 'mention_data': {'kb_id': 'D000474', 'candidates': ['D000474', 'C531762', 'C000643913', 'C076019', 'C027953', 'C564570', 'D000077548', 'C000651756', 'C580039', 'C548044', 'C000641441', 'C565960', 'C000688891', 'C000651755', 'C536081', 'C563010', 'D000471', 'C000648747', 'C562890', 'C567145', 'C552638', 'D006960', 'C000652014', 'C536587', 'C574100', 'C537851', 'C000648718', 'D000608', 'C000647823', 'D011191', 'D010661', 'C000648728', 'C482357', 'C000651005', 'D058835', 'C000671320', 'C000695447', 'D000137', 'C000681642', 'D000756', 'C000647283', 'C536561', 'C521342', 'C000648746', 'C535322', 'C000646930', 'C000646486', 'C000626173', 'C536654', 'C000676766', 'C000651111', 'C098975', 'C000650998', 'C567425', 'C536586', 'C537098', 'C565954', 'C567160', 'C082598', 'C000648704', 'C059688', 'C000595453', 'C049544', 'D014813']}}
{'text': 'Identification of the mutation in the alkaptonuria mouse model [E1] Alkaptonuria [\\E1] aku an inborn error of metabolism caused by the loss of homogentisate 1 2 dioxygenase HGD has been described in a mouse model created by ethylnitrosourea mutagenesis but the mutation in these mice has not previously been identified We', 'mention_data': {'kb_id': 'D000474', 'candidates': ['D000474', 'C531762', 'D006960', 'C000643913', 'C565960', 'C564570', 'D000471', 'C076019', 'C000651756', 'C548044', 'C580039', 'D011191', 'C000688891', 'C000641441', 'D000077548', 'C536081', 'C000651755', 'D010661', 'D000608', 'C000648747', 'C027953', 'C567425', 'C552638', 'C535702', 'C536561', 'C567145', 'D014813', 'C000652014', 'C562890', 'C563010', 'D000417', 'C000647823', 'D000419', 'C536587', 'C000671320', 'D000137', 'C000676766', 'D000141', 'C000638115', 'D018798', 'C000648718', 'D011507', 'C000648728', 'D026681', 'C574100', 'C535322', 'D000756', 'D056807', 'C567160', 'C565390', 'C000626173', 'C098975', 'C565954', 'D054880', 'D002128', 'C537851', 'C000647283', 'C000695447', 'C536586', 'C000648708', 'C000648746', 'C000651111', 'C000626175', 'C000646486']}}
{'text': 'the factor IX gene F9 is similar among a variety of ethnically and geographically diverse populations and compatible with the ancient pattern that has shaped the mammalian genome Here we compare the pattern of germline mutation in a population of [E1] hemophilia B [\\E1] patients from Mainland China n 66 to that in U S Caucasians Blacks and Mexican Hispanics and stratify by disease severity and ethnicity The similar pattern of germline mutation in all ethnic groups studied to date provides additional data', 'mention_data': {'kb_id': 'D002836', 'candidates': ['D002836', 'D006467', 'C000719204', 'C564415', 'C086257', 'D006432', 'C535858', 'C581942', 'D006431', 'D006410', 'D019741', 'C566557', 'C036254', 'C020622', 'C430806', 'C579887', 'C409729', 'D006486', 'C464743', 'C537254', 'C586562', 'D019337', 'C000664318', 'D051359', 'D006453', 'C537249', 'D057898', 'C529417', 'D006457', 'C549655', 'C423926', 'C535710', 'C106792', 'C566884', 'C517585', 'D051516', 'D051556', 'C076336', 'C491844', 'C537247', 'D006932', 'C537248', 'D020786', 'C000609240', 'D006491', 'C576025', 'C085481', 'C000682349', 'C565801', 'D006391', 'D060425', 'C070519', 'C562656', 'C565797', 'D006445', 'C563935', 'C527604', 'D018325', 'C529720', 'C458359', 'C451738', 'C000719212', 'D006394', 'D006933']}}
{'text': 'Phenotype heterogeneity among hemizygotes in a family biochemically screened for [E1] adrenoleukodystrophy [\\E1] We report on two clinically neurologically normal relatives of a boy affected by adrenoleukodystrophy ALD they were found repeatedly to have the biochemical defect of an ALD hemizygote The assay consisted in the determination of very long chain fatty', 'mention_data': {'kb_id': 'D000326', 'candidates': ['D000326', 'C538051', 'D052497', 'C535979', 'C535978', 'D008060', 'C566813', 'C565361', 'D052496', 'C535668', 'C538237', 'C565506', 'C538220', 'C564983', 'C564344', 'C564095', 'C565505', 'C537385', 'C567642', 'C538190', 'D000312', 'C563378', 'C567709', 'C537027', 'C563716', 'C567311', 'C567708', 'D014808', 'C563844', 'C565976', 'C538236', 'D010004', 'C565748', 'D039682', 'D009136', 'C537742', 'C564568', 'C564985', 'C564691', 'C563276', 'C567282', 'D009133', 'C564097', 'C566130', 'D020391', 'C564283', 'C535734', 'C567313', 'C564923', 'D050171', 'C567390', 'D017588', 'C565591', 'C566369', 'D003680', 'C566640', 'C566392', 'C562711', 'C567166', 'D014813', 'C580039', 'D020388', 'C564669', 'C563554']}}
{'text': 'Phenotype heterogeneity among hemizygotes in a family biochemically screened for adrenoleukodystrophy We report on two clinically neurologically normal relatives of a boy affected by [E1] adrenoleukodystrophy [\\E1] ALD they were found repeatedly to have the biochemical defect of an ALD hemizygote The assay consisted in the determination of very long chain fatty acids in lyophilized and reconstituted plasma While no evidence of neurologic disease leukodystrophy or', 'mention_data': {'kb_id': 'D000326', 'candidates': ['D000326', 'C538051', 'C535979', 'C566813', 'D052497', 'C535978', 'C564344', 'C565361', 'C538220', 'D008060', 'C538237', 'C564095', 'C564983', 'D052496', 'C565506', 'C535668', 'C567642', 'C537027', 'C537385', 'C565505', 'C567311', 'C538190', 'C538236', 'C563378', 'C567313', 'D000312', 'C567390', 'D009133', 'C565748', 'C563844', 'C567166', 'C567709', 'C564923', 'C563716', 'C564568', 'C565976', 'D020388', 'C567282', 'C567708', 'D009136', 'C567314', 'C537742', 'C535991', 'C564985', 'C564691', 'C564097', 'C562711', 'C535734', 'C566130', 'D020391', 'D017588', 'D010004', 'D003680', 'C563276', 'C564283', 'C563247', 'D004535', 'D039682', 'C563855', 'C564669', 'C565591', 'C536481', 'C567043', 'C537058']}}
{'text': 'Structural analysis of the 5 region of mouse and human [E1] Huntington disease [\\E1] genes reveals conservation of putative promoter region and di and trinucleotide polymorphisms We have previously cloned and characterized the murine homologue of the Huntington disease HD gene and shown that it maps to mouse chromosome 5 within a region', 'mention_data': {'kb_id': 'D006816', 'candidates': ['D006816', 'C580174', 'C535525', 'C565747', 'C564708', 'C566398', 'C564773', 'C535483', 'C537900', 'D000544', 'C537306', 'C535463', 'D000690', 'D020739', 'D044904', 'D010300', 'D018901', 'C563501', 'C566210', 'D000312', 'D030342', 'D020271', 'C536109', 'D006250', 'C538136', 'C535979', 'C536481', 'C565359', 'D003920', 'C536203', 'D000686', 'C538637', 'C537470', 'C562664', 'C537937', 'C564977', 'C535358', 'D029461', 'C536730', 'C537526', 'C581942', 'C537943', 'C536006', 'C537047', 'C535307', 'C538139', 'D013896', 'C537568', 'C565768', 'D015211', 'D005882', 'C535531', 'D006623', 'C579754', 'D017096', 'C536567', 'D000081208', 'C537573', 'D019636', 'D014515', 'D006111', 'C580039', 'C566384', 'D017825']}}
{'text': 'Structural analysis of the 5 region of mouse and human Huntington disease genes reveals conservation of putative promoter region and di and trinucleotide polymorphisms We have previously cloned and characterized the murine homologue of the [E1] Huntington disease [\\E1] HD gene and shown that it maps to mouse chromosome 5 within a region of conserved synteny with human chromosome 4p16 3 3 Here we present a detailed comparison of the sequence of the putative promoter and the organization', 'mention_data': {'kb_id': 'D006816', 'candidates': ['D006816', 'C580174', 'C535525', 'C565747', 'C564708', 'C535483', 'C537306', 'C566398', 'C566210', 'D000544', 'C535463', 'C536203', 'C564773', 'C537937', 'D044904', 'C563501', 'C536481', 'C537900', 'D000312', 'C535979', 'D000690', 'D020739', 'D018901', 'C562664', 'C537470', 'D010300', 'C536109', 'C537047', 'C536380', 'D029461', 'C537943', 'C537684', 'C579754', 'D006960', 'C538170', 'C538139', 'C000730394', 'C565359', 'C536730', 'C536006', 'C538075', 'D020271', 'D000686', 'C538637', 'D003920', 'C536567', 'C537137', 'C538523', 'D017825', 'D015211', 'D006250', 'C538248', 'C537497', 'C580039', 'C538136', 'C538052', 'C538254', 'C563786', 'C581942', 'C535978', 'D006111', 'D014515', 'C536472', 'C565768']}}
{'text': 'and numerous potential Sp1 binding sites The high sequence identity between Hdh and the HD gene for approximately 200 bp 5 to the putative translation start site indicates that these sequences may play a role in regulating expression of the [E1] Huntington disease [\\E1] gene', 'mention_data': {'kb_id': 'D006816', 'candidates': ['D006816', 'C580174', 'C535525', 'C535483', 'C565747', 'C564708', 'D000544', 'C537306', 'C566398', 'C535463', 'D000690', 'C537937', 'C536203', 'D000312', 'D010300', 'C535979', 'C537900', 'D029461', 'C566210', 'C537047', 'D044904', 'D020739', 'C536109', 'C564773', 'C579754', 'D006250', 'C536481', 'C536730', 'C538139', 'D018901', 'C536380', 'D000686', 'C538523', 'C536006', 'C537943', 'C538170', 'D017825', 'C565359', 'C537684', 'D020271', 'C537573', 'C538075', 'C562664', 'D006960', 'D015211', 'C563501', 'C537470', 'C535978', 'D000453', 'D002446', 'D003920', 'C565768', 'D052517', 'C536472', 'C537137', 'C538136', 'C538052', 'C536567', 'C000730394', 'D030342', 'C535307', 'C538637', 'C567370', 'C564977']}}
{'text': 'Complement deficiency and [E1] nephritis [\\E1] A report of a family A family is described in which three children had homozygous deficiency of C3 and in which both parents and two other children were heterozygous for the C3 null gene One child with heterozygous C3', 'mention_data': {'kb_id': 'D009393', 'candidates': ['D009393', 'D009394', 'C563477', 'D009395', 'D011704', 'D009404', 'C562901', 'D009336', 'D053040', 'D011705', 'D008181', 'C565080', 'D009401', 'C564275', 'D010501', 'C562606', 'C015382', 'D011702', 'D009506', 'C000633686', 'C432915', 'C564016', 'C000626552', 'C537699', 'C563010', 'C563805', 'D009494', 'D009343', 'D020019', 'C497518', 'D010930', 'C563713', 'D020803', 'D009450', 'D000096784', 'C564539', 'D009443', 'C456480', 'C566573', 'C106352', 'D003141', 'C535761', 'C048127', 'C563798', 'D002633', 'D009181', 'C056041', 'D004920', 'D009503', 'D011051', 'C536402', 'D005517', 'C536404', 'D010689', 'C000689886', 'D002353', 'C000697363', 'D009402', 'C538399', 'C536401', 'C537592', 'C548080', 'C567260', 'C000648159']}}
{'text': 'A family is described in which three children had homozygous deficiency of C3 and in which both parents and two other children were heterozygous for the C3 null gene One child with heterozygous C3 deficiency was found to have membranoproliferative [E1] glomerulonephritis [\\E1] proteinuria and/or microscopical haematuria was present in all three homozygous C3 deficient children All children with homozygous or heterozygous C3 deficiency were to a varying degree susceptible to infection The only child of the family with normal complement had', 'mention_data': {'kb_id': 'D005921', 'candidates': ['D005921', 'C567033', 'D015432', 'D008181', 'C562900', 'C536826', 'C014007', 'D011705', 'D015433', 'C563693', 'D005918', 'C567089', 'D009393', 'D011704', 'D005923', 'D010689', 'D001762', 'D005911', 'D006456', 'D006029', 'D009394', 'C538458', 'C536825', 'D004920', 'D017496', 'D053040', 'D011507', 'D009877', 'C538457', 'C538678', 'D005901', 'C563477', 'D053653', 'D020896', 'D007634', 'D001284', 'D005922', 'D008216', 'C535480', 'D008260', 'C565427', 'D008204', 'D010007', 'D005368', 'D006486', 'C000605017', 'C565440', 'D013924', 'D003920', 'D002481', 'D010202', 'C000605016', 'C008715', 'D004919', 'D005499', 'D011671', 'D004604', 'D006648', 'C537470', 'D008199', 'D002769', 'D004487', 'D009212', 'D004907']}}
{'text': 'family is described in which three children had homozygous deficiency of C3 and in which both parents and two other children were heterozygous for the C3 null gene One child with heterozygous C3 deficiency was found to have membranoproliferative glomerulonephritis [E1] proteinuria [\\E1] and/or microscopical haematuria was present in all three homozygous C3 deficient children All children with homozygous or heterozygous C3 deficiency were to a varying degree susceptible to infection The only child of the family with normal complement had no', 'mention_data': {'kb_id': 'D011507', 'candidates': ['D011507', 'D011488', 'D006456', 'D006960', 'D011141', 'D053565', 'D020151', 'D006029', 'C545036', 'D011776', 'D000608', 'D009846', 'D006940', 'C565960', 'D014511', 'D009212', 'D066329', 'D011504', 'D006959', 'D014804', 'D000072417', 'D001437', 'D014176', 'D066263', 'D000419', 'D014811', 'C565968', 'D000748', 'D020138', 'C535312', 'D033461', 'D006951', 'D011164', 'D062106', 'D006417', 'D054880', 'D011191', 'D011506', 'D005173', 'D002796', 'D053159', 'C579867', 'D055550', 'D007015', 'D021122', 'D022124', 'D007960', 'D008258', 'D009747', 'D000474', 'D005494', 'D011502', 'D058620', 'C562801', 'D014802', 'D026681', 'D006937', 'D009401', 'D010452', 'C537686', 'D020033', 'D000092162', 'D018056', 'D016470']}}
